"Language", "Accuracy difference", "Accuracy total", "Accuracy second derivative", "Linear a1 C", "Linear a2 x", "Linear a3 x^2", "Negpow a1 C", "Negpow a2 x", "Negpow a3 x^2", "Expone a1 C", "Expone a2 x", "Expone a3 x^2"
"R lines", 1e-05, 1, 0.0001, 6.850983302411867, -24.50582825389381, 21.58847337314764, 0.3405004037205719, -1.9643840570565259, 3.9169899367311873, 3.97257555275754, -55.610972081135685, 10.358176881868742
"R hunks", 1e-05, 1, 0.0001, 6.446765615337036, -22.066588651662265, 19.14249047954014, 0.2582060024986877, -0.7139396710895579, 2.286193383778776, 3.5095604284514352, -40.6574399838293, 8.236738249612374
"Ruby commits", 1e-05, 1, 0.0001, 4.7617748917748886, -16.881057013264346, 13.33872883086628, 0.22761887954084215, -0.9435170274780796, 1.0153900379358607, 3.2650357794861575, -35.16169489129629, 7.713734855501081
"Ruby lines", 1e-05, 1, 0.0001, 5.009381570810138, -18.14600655743845, 14.494906873640542, 0.32056171657701094, -2.2888745047675862, 2.724752204316971, 3.8652486178232226, -55.07205443821917, 19.889838935759286
"Ruby hunks", 1e-05, 1, 0.0001, 4.566858379715518, -15.855101356474165, 12.383531270293883, 0.26328700102572244, -1.5095653075476674, 1.7698935400794107, 3.551165002401074, -45.8997265256423, 16.65493116475988
"Rust commits", 1e-05, 1, 0.0001, 11.00667903525045, -38.93440148336557, 30.959638580904862, 0.5983885598746839, -3.286888320429092, 3.9659820952919924, 5.219095336558027, -105.55778465013502, 17.82413495924007
"Rust lines", 1e-05, 1, 0.0001, 11.783413729128004, -42.80340615093918, 34.43861793142097, 0.805363725036849, -6.212802915665824, 7.63381630670745, 6.4238186297548525, -188.33280515743573, 15.476516875896433
"Rust hunks", 1e-05, 1, 0.0001, 11.194520717377856, -39.77211406614851, 31.654786126872004, 0.6826694109541718, -4.482893566482954, 5.468573489344678, 5.7283302983901345, -139.14035957973698, -4.64506921092859
"Swift commits", 1e-05, 1, 0.0001, 2.992597402597402, -10.176995010425419, 8.265952645684745, 0.06623490629424489, 0.5795917912269485, -0.5409450594469034, 1.708469572238356, -9.825429908357751, -11.369284241051943
"Swift lines", 1e-05, 1, 0.0001, 3.2890970933828036, -11.441027536126946, 9.276257757828592, 0.20172120986302078, -1.3301182805023888, 1.8489390329265607, 3.1369160670434337, -39.7035913913922, -4.341401108300585
"Swift hunks", 1e-05, 1, 0.0001, 3.2246938775510166, -11.021981069655576, 8.84116022646682, 0.14533679234712926, -0.47386345305939215, 0.7325676117862262, 2.520447172031918, -24.165744078878244, 0.60024993523691



